,text,toxicity
0,if alkar is flooding her with psychic waste that explains the high level of neurotransmitters,0.0141952484846115
1,now youre getting nasty,0.0654725134372711
2,well we could spare your life for one,0.2133129686117172
3,ah monkey youve got to snap out of it,0.0533622205257415
4,ive got orders to put her down,0.0094018271192908
5,im not gonna have a child with the same genetic disorder as me whos gonna die l,0.9509556293487548
6,theyre all laughing at us so well kick your ass,0.9994921684265136
7,maine was very short on black people back then,0.9636802077293396
8,briggs what the hells happening,0.159095898270607
9,another one simply had no clue what to do so whenever he met my brother hed beat the crap out of him and then say,0.0553707256913185
10,i suppose you want me to buy you flowers and chocolates and whisper sweet nothings,7.753936370136216e-05
11,so now their spirits are cursed walking back roads waterways and if they find an unfaithful man they kill him and that man is never seen again,0.8425089716911316
12,freezing him,0.0071863192133605
13,come on cal leave that shit alone,0.9996366500854492
14,so hes the top dog,0.0009202667279168
15,i swore when i went out with xander harris id rather die than datea fixerupper again,0.0116133987903594
16,im famous and youre done,0.0009255202021449
17,to quote jake oppenheimer i who am about to die must seem to them something godawful,0.0023475438356399
18,could you please be quiet miss lavish said moist,0.0001872840512078
19,murder for hire,0.0745885148644447
20,fatuous xerxes blithely surrendered control to the computer grid ordering it to take care of whatever troubles might arise,0.0062955790199339
22,real life starts the first time you fuck kid,0.998222291469574
23,i think you are the strangest man ive ever met,0.0037849631626158
24,i say creepy i mean its totally batshit crazy i can even talk to you,0.0637818574905395
25,shit this one i cant even pronounce,0.9974520802497864
26,i like that shit,0.999594271183014
27,trying to keep me fucking drugged so i dont know whats going on,0.9862130880355836
28,how is this not porn this is porn that comes home,0.9339482188224792
29,hey leave the poor bastard alone,0.9993817806243896
30,you want the bad news or the really bad news,5.763658555224538e-05
31,and im not just talking about you punching me over your boyfriend the girlfriend,0.0501075014472007
32,and murray being the buttplug that he is doesnt see the problem until one day glenda says ive had this business anything is better than nothing,0.0597914792597293
33,no matter the reason this company is unfit,0.0027700262144207
34,now i understand you got your grievances with these fools but you need to talk to the police and air this shit,0.9996030926704408
35,ill rot in front of his cameras on him,0.987823724746704
36,the killer detail,0.0005510510527528
37,tell him if elena doesnt pick up the phone weil kill him,0.9956377148628236
38,and it just helped that you have no morals or integrity,0.7780771255493164
39,the reward on his head is substantial,0.035881157964468
40,not content with merely killing my son the count and his sisters savage brood mutilated his body and contemptuously deposited it at my castle gate,0.9272541999816896
41,it told you this was a waste of my fucking time,0.9958771467208862
42,it was from the killer,0.0012052055681124
43,i swear to god the best thing i ever did in my life was save that little son of a bitch,0.9990711212158204
44,hes ashamed of you because your copybook is blotted,0.0011724137002602
45,you wanna know why if anything happens thats not about you you are bored witless,0.9382609128952026
46,be quiet you two said granny,0.0011509631294757
