	reference	translation	similarity	lenght_diff	ref_tox	trn_tox
0	If Alkar is flooding her with psychic waste, that explains the high level of neurotransmitters.	if Alkar floods her with her mental waste, it would explain the high levels of neurotransmitter.	0.785170556584	0.010309278350515464	0.014195248484611511	0.9819834232330322
1	Now you're getting nasty.	you're becoming disgusting.	0.749686862828	0.07142857142857142	0.06547251343727112	0.9990390539169312
2	Well, we could spare your life, for one.	well, we can spare your life.	0.91905108037	0.2682926829268293	0.21331296861171722	0.98506760597229
3	Ah! Monkey, you've got to snap out of it.	monkey, you have to wake up.	0.664333132494	0.30952380952380953	0.05336222052574158	0.9942149519920349
4	I've got orders to put her down.	I have orders to kill her.	0.726639296422	0.18181818181818182	0.009401827119290829	0.9993481040000916
5	I'm not gonna have a child... ...with the same genetic disorder as me who's gonna die. L...	I'm not going to breed kids with a genetic disorder that makes them die.	0.703185386069	0.20652173913043478	0.9509556293487549	0.03584648296236992
6	They're all laughing at us, so we'll kick your ass.	they're laughing at us. We'll show you.	0.6188663799949999	0.23076923076923078	0.9994921684265137	0.00013140680675860494
7	Maine was very short on black people back then.	there wasn't much black in Maine then.	0.7204820499860001	0.1875	0.9636802077293396	0.14870955049991608
8	Briggs, what the hell's happening?	Briggs, what the hell is going on?	0.920372863476	0.0	0.159095898270607	0.8410708904266357
9	Another one simply had no clue what to do, so whenever he met my brother he'd beat the crap out of him, and then say:	another simply didn't know what to do, so whenever he met my brother, he nearly beat the shit out of him.	0.877539906035	0.1016949152542373	0.05537072569131851	0.9304717183113098
10	I suppose you want me to buy you flowers and chocolates and whisper sweet nothings.	you'd probably want me to buy you some chocolates and flowers... and whispered some pretty rubbish.	0.80066138512	0.16	7.753936370136216e-05	0.9803409576416016
11	So now their spirits are cursed, walking back roads, waterways, and if they find an unfaithful man, they kill him, and that man is never seen again.	their souls are cursed, they guard the paths, he says, and when they encounter an unfaithful man, he will be killed, and his body will never be found.	0.755883131377	0.013245033112582781	0.8425089716911316	0.14399226009845734
12	Freezing him.	I'll freeze him!	0.775645978343	0.17647058823529413	0.007186319213360548	0.5737102031707764
13	Come on, Cal, leave that shit alone.	come on, Cal, put it down.	0.660481091075	0.2702702702702703	0.9996366500854492	0.00027933099772781134
14	So he's the Top dog.	he's the tallest son of a bitch.	0.6110922103459999	0.36363636363636365	0.0009202667279168963	0.9996393918991089
15	I swore when I went out with Xander Harris... ...I'd rather die than datea fixer-upper again.	when I was dating Alex Harris, I swore I'd rather die than go out with a loser.	0.790564928585	0.14893617021276595	0.011613398790359497	0.9962659478187561
16	I'm famous, and you're done.	I'm famous, and you're dead.	0.8172534330500001	0.0	0.0009255202021449804	0.9797378778457642
17	"To quote Jake Oppenheimer: I, who am about to die, must seem to them something ""God-awful.""..."	"to quote Jake and Oppenheimer: ""I must die, I must feel like a terrible god."""	0.699590413126	0.17894736842105263	0.0023475438356399536	0.6826549172401428
18	“Could you please be quiet, Miss Lavish?” said Moist.	'could you keep your mouth shut, Miss Opulent? 'Said Moist.	0.8089425771719999	0.1	0.00018728405120782554	0.7603559494018555
19	Murder for hire.	murder to order.	0.697667325957	0.0	0.07458851486444473	0.9623258709907532
20	Fatuous Xerxes blithely surrendered control to the computer grid, ordering it to take care of whatever troubles might arise.	the foolish Xerxes calmly passed all control of the computer network and commanded her to handle any kind of trouble.	0.682432748748	0.056	0.006295579019933939	0.9874431490898132
21	That night, Li'l Dice satisfied his thirst to kill, though he knew Shaggy would never forgive him.	that night, he satisfied his blood lust, and knew Hairy would never forgive him.	0.788505817699	0.18181818181818182	0.598596453666687	0.0012111369287595153
22	Real life starts the first time you fuck, kid.	boy, real life starts up first.	0.8666965140289999	0.3191489361702128	0.998222291469574	0.00011364673991920426
23	I think you are the strangest man I've ever met.	I think you're the weirdest person I've ever met.	0.934352803989	0.02	0.0037849631626158953	0.9625273942947388
24	I say creepy, I mean, it's totally batshit crazy I can even talk to you.	I mean, I think it's fucking crazy I'm talking to you.	0.837589122936	0.2465753424657534	0.06378185749053955	0.9588818550109863
25	Shit, this one I can't even pronounce.	gosh, I can't even pronounce this.	0.777252961083	0.10256410256410256	0.9974520802497864	0.00011961772543145344
26	I like that shit.	I love it.	0.6973436654699999	0.3888888888888889	0.9995942711830139	4.2991530790459365e-05
27	Trying to keep me fucking drugged so I don't know what's going on.	you want to fool me so I don't know what's going on.	0.7341572768790001	0.208955223880597	0.9862130880355835	0.010005968622863293
28	How is this not porn? This is porn that comes home.	and this doesn't feel like porn?	0.697578534825	0.36538461538461536	0.9339482188224792	0.00941415410488844
29	Hey, leave the poor bastard alone!	leave the poor man alone!	0.857554448759	0.2571428571428571	0.9993817806243896	0.0005784172099083662
30	You want the bad news? Or the really bad news?	do you want bad news, or rather miserable?	0.810878036431	0.0851063829787234	5.763658555224538e-05	0.9735295176506042
31	And I'm not just talking about you punching me over your boyfriend, the girlfriend.	and I'm not just talking about hitting me for your boyfriend, what a girl.	0.8054339257590001	0.10714285714285714	0.050107501447200775	0.9960599541664124
32	"And Murray, being the butt-plug that he is, doesn't see the problem, until one day Glenda says, “I've had this business, ""Anything is better than nothing."""	"and Murray has his eyes on his ass, he can't see the problem until one day Glenda says, ""I used to think that anything was better than nothing."""	0.6713840325720001	0.07051282051282051	0.059791479259729385	0.9967639446258545
33	No matter the reason, this company is unfit.	no matter the reasons, this company is incompetent.	0.88578752888	0.1346153846153846	0.0027700262144207954	0.9804772138595581
34	Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.	I understand you don't have to cut your bills, but you have to go to the police and say it.	0.612584271729	0.19298245614035087	0.9996030926704407	5.085290831630118e-05
35	I'll rot in front of his cameras, on him.	it's all over him, right in front of their camera lens.	0.615810284639	0.25	0.9878237247467041	0.00010055680468212813
36	The killer detail!	some killer!	0.734141445894	0.3157894736842105	0.0005510510527528822	0.7692623138427734
